sentence,O,C,E,A,N
I'm always up for meeting new people and making friends.,0,0,1,0,0
I enjoy being the center of attention.,0,0,1,0,0
I have a lot of energy and enthusiasm.,0,0,1,0,0
I feel at my best when I'm around others.,0,0,1,0,0
I'm comfortable talking to strangers.,0,0,1,0,0
I'm always looking for new social experiences.,0,0,1,0,0
I have a lot of close friends.,0,0,1,0,0
I'm often the one who gets the party started.,0,0,1,0,0
I'm a naturally confident person.,0,0,1,0,0
I don't mind being the focus of a group.,0,0,1,0,0
I'm comfortable speaking in front of crowds.,0,0,1,0,0
I have a lot of energy and enjoy staying active.,0,0,1,0,0
I like being in the thick of things.,0,0,1,0,0
I feel lonely when I spend too much time alone.,0,0,1,0,0
I'm a sociable and outgoing person.,0,0,1,0,0
I have a large network of friends and acquaintances.,0,0,1,0,0
I'm always looking for new opportunities to socialize.,0,0,1,0,0
I'm a naturally gregarious person.,0,0,1,0,0
I'm comfortable meeting new people and making small talk.,0,0,1,0,0
I enjoy being in large groups of people.,0,0,1,0,0
I have a lot of charisma and charm.,0,0,1,0,0
I'm a natural leader and enjoy taking charge.,0,0,1,0,0
I'm confident in my abilities to interact with others.,0,0,1,0,0
I'm not shy about starting conversations with people.,0,0,1,0,0
I enjoy the energy of busy social scenes.,0,0,1,0,0
I'm a friendly and approachable person.,0,0,1,0,0
I have a lot of positive energy that others are drawn to.,0,0,1,0,0
I'm confident in my social skills.,0,0,1,0,0
I'm quick to make new friends.,0,0,1,0,0
I'm comfortable in large crowds and noisy environments.,0,0,1,0,0
I enjoy being the life of the party.,0,0,1,0,0
I'm outgoing and enjoy meeting new people.,0,0,1,0,0
I have a lot of friends and am always adding more.,0,0,1,0,0
I'm confident in my ability to connect with others.,0,0,1,0,0
I have a positive attitude and enjoy spreading joy.,0,0,1,0,0
I'm always looking for opportunities to socialize.,0,0,1,0,0
I have a warm personality and make others feel comfortable.,0,0,1,0,0
I enjoy being the center of attention in a positive way.,0,0,1,0,0
I'm confident in my ability to influence others.,0,0,1,0,0
I'm a good communicator and enjoy talking to people.,0,0,1,0,0
I'm comfortable being the focus of a group.,0,0,1,0,0
I'm energetic and enjoy engaging with others.,0,0,1,0,0
I have a lot of friends and enjoy spending time with them.,0,0,1,0,0
I'm confident in my social abilities and enjoy showing them off.,0,0,1,0,0
I'm comfortable approaching people and starting conversations.,0,0,1,0,0
I enjoy being around others and feel energized by their presence.,0,0,1,0,0
I'm a naturally friendly person and enjoy making others feel at ease.,0,0,1,0,0
I have a lot of charisma and people are naturally drawn to me.,0,0,1,0,0
I'm confident in my ability to engage with others and hold their interest.,0,0,1,0,0
I'm comfortable in social situations and enjoy being the life of the party.,0,0,1,0,0
I'm always looking for new friends and new social experiences.,0,0,1,0,0
I have a positive and energetic personality.,0,0,1,0,0
I'm confident in my ability to connect with people from all walks of life.,0,0,1,0,0
I'm comfortable in large groups and enjoy meeting new people.,0,0,1,0,0
I enjoy being the one to initiate conversations and social interactions.,0,0,1,0,0
I have a contagious enthusiasm that draws others to me.,0,0,1,0,0
I'm not afraid to be the center of attention and enjoy it.,0,0,1,0,0
I'm confident in my ability to make others feel at ease.,0,0,1,0,0
I enjoy being in large crowds and finding new social opportunities.,0,0,1,0,0
I have a lot of energy and enjoy being active and engaged with others.,0,0,1,0,0
I'm a naturally social person and enjoy being around people.,0,0,1,0,0
I have a lot of friends and enjoy spending time with them regularly.,0,0,1,0,0
I'm confident in my ability to navigate social situations and connect with others.,0,0,1,0,0
I'm always looking for new experiences and opportunities to meet new people.,0,0,1,0,0
I'm comfortable starting conversations with people I've just met.,0,0,1,0,0
I have a warm personality that makes others feel welcome and appreciated.,0,0,1,0,0
I'm confident in my social skills and enjoy putting them on display.,0,0,1,0,0
I'm comfortable being the focus of attention and leading group activities.,0,0,1,0,0
I have a lot of positive energy that others are drawn to.,0,0,1,0,0
I enjoy being in busy social environments and interacting with others.,0,0,1,0,0
I'm not shy about approaching others and starting conversations.,0,0,1,0,0
I have a lot of friends and enjoy staying connected with them.,0,0,1,0,0
I'm confident in my ability to be a social butterfly and spread joy.,0,0,1,0,0
I'm not intimidated by large crowds or new social situations.,0,0,1,0,0
I enjoy being the one to bring people together and create social experiences.,0,0,1,0,0
I have a naturally outgoing personality and enjoy being around others.,0,0,1,0,0
I'm confident in my ability to engage with others and keep conversations going.,0,0,1,0,0
I have a lot of positive energy and enjoy spreading it to those around me.,0,0,1,0,0
"I'm comfortable in noisy, crowded environments and enjoy the social stimulation.",0,0,1,0,0
I'm always looking for new opportunities to make new friends and connect with others.,0,0,1,0,0
"I have a lot of friends and enjoy spending time with them, both in large and small groups.",0,0,1,0,0
I'm confident in my ability to navigate social situations and bring people together.,0,0,1,0,0
I enjoy being the center of attention in a positive and charming way.,0,0,1,0,0
I'm not shy about putting myself out there and being social.,0,0,1,0,0
I have a lot of enthusiasm for life and enjoy spreading it to others.,0,0,1,0,0
I'm comfortable with meeting new people and making small talk.,0,0,1,0,0
I enjoy being the one to initiate social activities and experiences.,0,0,1,0,0
I have a lot of charisma and others are naturally drawn to my positive energy.,0,0,1,0,0
I'm confident in my ability to connect with people from diverse backgrounds.,0,0,1,0,0
I'm not intimidated by new social situations and enjoy the challenge.,0,0,1,0,0
I have a lot of positive energy and enjoy being the life of the party.,0,0,1,0,0
I'm comfortable with taking charge and leading group activities.,0,0,1,0,0
"I enjoy being in busy, social environments and feeling the energy around me.",0,0,1,0,0
I'm always looking for new friends and opportunities to socialize.,0,0,1,0,0
I have a naturally outgoing personality and enjoy making others feel comfortable.,0,0,1,0,0
I'm confident in my ability to engage with others and create memorable social experiences.,0,0,1,0,0
I have a lot of positive energy and enjoy bringing people together.,0,0,1,0,0
I'm comfortable in social situations and enjoy being the center of attention in a positive way.,0,0,1,0,0
"I prefer to work independently, rather than in a team.",0,0,-1,0,0
I'm more comfortable observing than participating in group activities.,0,0,-1,0,0
"I prefer a quiet, solitary work environment.",0,0,-1,0,0
I don't like to draw attention to myself in the workplace.,0,0,-1,0,0
I find it hard to speak up in meetings or group discussions.,0,0,-1,0,0
I prefer to keep a low profile and avoid the spotlight.,0,0,-1,0,0
I don't enjoy networking or socializing with coworkers.,0,0,-1,0,0
